Date,Consumption,Crude Oil Imports,Crude Oil Exports(1000 Barrels),Crude Oil Production (1000 Barrels),US Population,Consumption Change,Consumption Change (Y/N)
Sep-73,5377.0,3471.0,160,271959,212289.0,,0
Oct-73,5765.0,3739.0,0,285940,212475.0,388.0,1
Nov-73,6088.0,3452.0,0,274829,212634.0,323.0,1
Dec-73,6389.0,2891.0,177,280960,212785.0,301.0,1
Jan-74,6378.0,2382.0,534,276950,212932.0,-11.0,0
Feb-74,5820.0,2248.0,281,255982,213074.0,-558.0,0
Mar-74,5846.0,2462.0,0,277927,213211.0,26.0,1
Apr-74,5356.0,3267.0,15,268619,213361.0,-490.0,0
May-74,5360.0,3908.0,200,276228,213513.0,4.0,1
Jun-74,5150.0,3925.0,44,263407,213686.0,-210.0,0
Jul-74,5458.0,4091.0,0,272184,213854.0,308.0,1
Aug-74,5488.0,3924.0,0,269665,214042.0,30.0,1
Sep-74,5231.0,3797.0,0,253288,214246.0,-257.0,0
Oct-74,5713.0,3810.0,0,266949,214451.0,482.0,1
Nov-74,5758.0,3958.0,0,257064,214625.0,45.0,1
Dec-74,6314.0,3869.0,0,264322,214782.0,556.0,1
Jan-75,6508.0,4029.0,836,262104,214931.0,194.0,1
Feb-75,5659.0,3828.0,942,240552,215065.0,-849.0,0
Mar-75,5794.0,3656.0,349,263297,215198.0,135.0,1
Apr-75,5244.0,3378.0,19,253698,215353.0,-550.0,0
May-75,4917.0,3486.0,0,259742,215523.0,-327.0,0
Jun-75,4882.0,3905.0,0,252624,215768.0,-35.0,0
Jul-75,5100.0,4192.0,0,258408,215973.0,218.0,1
Aug-75,5199.0,4581.0,0,255712,216195.0,99.0,1
Sep-75,4996.0,4689.0,0,248389,216393.0,-203.0,0
Oct-75,5377.0,4389.0,0,258057,216587.0,381.0,1
Nov-75,5309.0,4623.0,0,248336,216771.0,-68.0,0
Dec-75,6338.0,4476.0,0,255860,216931.0,1029.0,1
Jan-76,6710.0,4594.0,0,255185,217095.0,372.0,1
Feb-76,5836.0,4208.0,0,238705,217249.0,-874.0,0
Mar-76,5808.0,4738.0,45,255198,217381.0,-28.0,0
Apr-76,5335.0,4790.0,0,242310,217528.0,-473.0,0
May-76,5243.0,4669.0,1,251860,217685.0,-92.0,0
Jun-76,5237.0,5628.0,0,242833,217861.0,-6.0,0
Jul-76,5405.0,5792.0,0,251942,218035.0,168.0,1
Aug-76,5367.0,5556.0,380,251429,218233.0,-38.0,0
Sep-76,5189.0,5875.0,0,244489,218440.0,-178.0,0
Oct-76,5681.0,5689.0,563,249962,218644.0,492.0,1
Nov-76,6198.0,5946.0,900,242388,218834.0,517.0,1
Dec-76,7062.0,5925.0,1052,249879,219006.0,864.0,1
Jan-77,7230.0,6281.0,412,243478,219179.0,168.0,1
Feb-77,6135.0,6659.0,1651,227890,219344.0,-1095.0,0
Mar-77,5977.0,6699.0,995,250778,219504.0,-158.0,0
Apr-77,5409.0,6821.0,505,244347,219684.0,-568.0,0
May-77,5414.0,6818.0,2760,250317,219859.0,5.0,1
Jun-77,5513.0,7065.0,292,243058,220046.0,99.0,1
Jul-77,5619.0,7068.0,1646,251244,220239.0,106.0,1
Aug-77,5715.0,6395.0,1145,257510,220458.0,96.0,1
Sep-77,5536.0,6429.0,2719,254392,220688.0,-179.0,0
Oct-77,5721.0,6502.0,2645,265776,220904.0,185.0,1
Nov-77,5901.0,6321.0,1355,257378,221109.0,180.0,1
Dec-77,6781.0,6327.0,2130,263097,221303.0,880.0,1
Jan-78,6994.0,6240.0,3048,259150,221477.0,213.0,1
Feb-78,6416.0,5764.0,226,234544,221629.0,-578.0,0
Mar-78,6281.0,6163.0,1855,270324,221792.0,-135.0,0
Apr-78,5538.0,5627.0,2749,264526,221991.0,-743.0,0
May-78,5633.0,5727.0,3834,273583,222176.0,95.0,1
Jun-78,5469.0,6468.0,5851,264974,222379.0,-164.0,0
Jul-78,5629.0,6329.0,4276,271442,222585.0,160.0,1
Aug-78,5802.0,6435.0,5636,271502,222805.0,173.0,1
Sep-78,5447.0,7053.0,7536,264010,223053.0,-355.0,0
Oct-78,5788.0,6595.0,8418,273420,223271.0,341.0,1
Nov-78,6028.0,6831.0,6533,262233,223477.0,240.0,1
Dec-78,6783.0,6996.0,7766,268508,223670.0,755.0,1
Jan-79,7336.0,6925.0,5484,262716,223865.0,553.0,1
Feb-79,6733.0,6522.0,8076,238710,224053.0,-603.0,0
Mar-79,6422.0,6374.0,11458,266635,224235.0,-311.0,0
Apr-79,5635.0,6211.0,7790,256593,224438.0,-787.0,0
May-79,5688.0,6261.0,5314,266631,224632.0,53.0,1
Jun-79,5521.0,6647.0,7038,252949,224843.0,-167.0,0
Jul-79,5620.0,6602.0,7579,259278,225055.0,99.0,1
Aug-79,5815.0,6809.0,7592,264981,225295.0,195.0,1
Sep-79,5431.0,6426.0,5241,255693,225547.0,-384.0,0
Oct-79,5912.0,6890.0,5537,267256,225801.0,481.0,1
Nov-79,6049.0,6228.0,7925,262818,226027.0,137.0,1
Dec-79,6683.0,6318.0,6673,267050,226243.0,634.0,1
Jan-80,6865.0,6406.0,9975,268940,226451.0,182.0,1
Feb-80,6483.0,6013.0,9614,252431,226656.0,-382.0,0
Mar-80,6328.0,5695.0,10218,269650,226849.0,-155.0,0
Apr-80,5470.0,5598.0,5770,260541,227061.0,-858.0,0
May-80,5283.0,5106.0,10097,267684,227251.0,-187.0,0
Jun-80,5169.0,5480.0,10960,256619,227522.0,-114.0,0
Jul-80,5429.0,4843.0,7367,264964,227726.0,260.0,1
Aug-80,5363.0,4803.0,2412,260841,227953.0,-66.0,0
Sep-80,5306.0,4707.0,9647,258577,228186.0,-57.0,0
Oct-80,5641.0,4768.0,9586,264489,228417.0,335.0,1
Nov-80,5776.0,4680.0,8669,254852,228612.0,135.0,1
Dec-80,6668.0,5082.0,10620,266777,228779.0,892.0,1
Jan-81,6905.0,4932.0,10496,264736,228937.0,237.0,1
Feb-81,5811.0,4873.0,5543,240914,229071.0,-1094.0,0
Mar-81,5910.0,4521.0,6519,267003,229224.0,99.0,1
Apr-81,5200.0,4338.0,5931,256708,229403.0,-710.0,0
May-81,5232.0,4287.0,9679,263541,229575.0,32.0,1
Jun-81,5256.0,4061.0,3698,258859,229761.0,24.0,1
Jul-81,5453.0,4296.0,7976,263498,229966.0,197.0,1
Aug-81,5352.0,4179.0,6320,266069,230187.0,-101.0,0
Sep-81,5135.0,4740.0,5813,258120,230412.0,-217.0,0
Oct-81,5491.0,4380.0,6996,265450,230641.0,356.0,1
Nov-81,5459.0,4046.0,8338,257579,230822.0,-32.0,0
Dec-81,6315.0,4137.0,5857,266147,230989.0,856.0,1
Jan-82,6641.0,3693.0,7383,263793,231157.0,326.0,1
Feb-82,5751.0,2990.0,8521,243661,231313.0,-890.0,0
Mar-82,5741.0,2874.0,9950,268687,231470.0,-10.0,0
Apr-82,5276.0,2849.0,5234,257738,231645.0,-465.0,0
May-82,4830.0,3309.0,8111,269186,231809.0,-446.0,0
Jun-82,4784.0,3836.0,2819,259383,231992.0,-46.0,0
Jul-82,5028.0,4248.0,7105,268398,232188.0,244.0,1
Aug-82,5048.0,3851.0,9419,267643,232392.0,20.0,1
Sep-82,4824.0,3636.0,5524,261028,232599.0,-224.0,0
Oct-82,5018.0,3670.0,8384,269745,232816.0,194.0,1
Nov-82,5241.0,3862.0,7859,260918,232993.0,223.0,1
Dec-82,5656.0,3000.0,5970,266535,233160.0,415.0,1
Jan-83,6063.0,2964.0,3625,269604,233322.0,407.0,1
Feb-83,5291.0,2267.0,7338,245237,233473.0,-772.0,0
Mar-83,5589.0,2290.0,5379,269706,233613.0,298.0,1
Apr-83,5056.0,3118.0,2630,263269,233781.0,-533.0,0
May-83,4863.0,3360.0,8688,267575,233922.0,-193.0,0
Jun-83,4836.0,3577.0,4306,260014,234118.0,-27.0,0
Jul-83,5101.0,3871.0,4494,267717,234307.0,265.0,1
Aug-83,5303.0,4227.0,5333,269053,234501.0,202.0,1
Sep-83,4939.0,4210.0,5315,263530,234701.0,-364.0,0
Oct-83,4934.0,3446.0,4336,271890,234907.0,-5.0,0
Nov-83,5145.0,3337.0,5567,263111,235078.0,211.0,1
Dec-83,5978.0,3213.0,2937,260293,235235.0,833.0,1
Jan-84,6756.0,3055.0,4739,274902,235385.0,778.0,1
Feb-84,5770.0,2950.0,5355,257357,235527.0,-986.0,0
Mar-84,5974.0,3470.0,7304,268829,235675.0,204.0,1
Apr-84,5432.0,3417.0,5147,265872,235839.0,-542.0,0
May-84,5286.0,3942.0,6782,277616,235993.0,-146.0,0
Jun-84,5189.0,3546.0,6665,265570,236160.0,-97.0,0
Jul-84,5289.0,3646.0,3341,275432,236348.0,100.0,1
Aug-84,5464.0,3248.0,5886,273091,236549.0,175.0,1
Sep-84,4962.0,3342.0,4846,269798,236760.0,-502.0,0
Oct-84,5199.0,3751.0,4371,276075,236976.0,237.0,1
Nov-84,5337.0,3583.0,6061,269357,237159.0,138.0,1
Dec-84,5789.0,3136.0,5737,275797,237316.0,452.0,1
Jan-85,6428.0,2717.0,4478,270926,237468.0,639.0,1
Feb-85,6033.0,2108.0,6181,252695,237602.0,-395.0,0
Mar-85,5710.0,2786.0,5858,281943,237732.0,-323.0,0
Apr-85,5302.0,3401.0,7069,271299,237900.0,-408.0,0
May-85,5146.0,3730.0,7747,283093,238074.0,-156.0,0
Jun-85,5033.0,3188.0,6766,270653,238270.0,-113.0,0
Jul-85,5310.0,3203.0,4772,277410,238466.0,277.0,1
Aug-85,5396.0,3114.0,7479,272881,238679.0,86.0,1
Sep-85,4926.0,3155.0,5645,268610,238898.0,-470.0,0
Oct-85,5208.0,3238.0,3820,278068,239113.0,282.0,1
Nov-85,5228.0,3999.0,8593,267059,239307.0,20.0,1
Dec-85,6315.0,3696.0,6105,279916,239477.0,1087.0,1
Jan-86,6514.0,3472.0,4918,283248,239638.0,199.0,1
Feb-86,5786.0,2968.0,4523,256855,239788.0,-728.0,0
Mar-86,5884.0,2988.0,6577,279413,239928.0,98.0,1
Apr-86,5239.0,3684.0,2829,265917,240094.0,-645.0,0
May-86,5207.0,4250.0,3049,273964,240271.0,-32.0,0
Jun-86,5148.0,4635.0,7206,258700,240459.0,-59.0,0
Jul-86,5451.0,4726.0,2021,268448,240651.0,303.0,1
Aug-86,5331.0,4859.0,7222,259580,240854.0,-120.0,0
Sep-86,4948.0,5031.0,4829,249843,241068.0,-383.0,0
Oct-86,5164.0,4419.0,4673,260984,241274.0,216.0,1
Nov-86,5248.0,4615.0,3441,252374,241467.0,84.0,1
Dec-86,6066.0,4412.0,4917,258926,241620.0,818.0,1
Jan-87,6520.0,4385.0,2595,262888,241784.0,454.0,1
Feb-87,5879.0,3866.0,7940,234880,241930.0,-641.0,0
Mar-87,5864.0,3779.0,4645,262398,242079.0,-15.0,0
Apr-87,5471.0,4132.0,7409,254945,242252.0,-393.0,0
May-87,5320.0,4340.0,2125,258426,242423.0,-151.0,0
Jun-87,5418.0,4807.0,3468,248356,242608.0,98.0,1
Jul-87,5725.0,5295.0,4616,255782,242804.0,307.0,1
Aug-87,5619.0,5510.0,4380,254508,243012.0,-106.0,0
Sep-87,5261.0,5110.0,3478,246163,243223.0,-358.0,0
Oct-87,5528.0,5142.0,2592,259272,243446.0,267.0,1
Nov-87,5518.0,5013.0,4907,251915,243639.0,-10.0,0
Dec-87,6353.0,4640.0,6809,257844,243809.0,835.0,1
Jan-88,6821.0,4662.0,6399,255743,243981.0,468.0,1
Feb-88,6403.0,4650.0,4226,242848,244131.0,-418.0,0
Mar-88,6351.0,4868.0,6598,259587,244279.0,-52.0,0
Apr-88,5560.0,5167.0,3433,248629,244445.0,-791.0,0
May-88,5466.0,5339.0,4285,255089,244610.0,-94.0,0
Jun-88,5578.0,5322.0,4128,245102,244806.0,112.0,1
Jul-88,5764.0,5100.0,5765,249229,245021.0,186.0,1
Aug-88,6018.0,5089.0,4715,250459,245240.0,254.0,1
Sep-88,5416.0,5212.0,3573,236847,245464.0,-602.0,0
Oct-88,5705.0,5551.0,5157,248704,245693.0,289.0,1
Nov-88,5830.0,5070.0,4429,240700,245884.0,125.0,1
Dec-88,6596.0,5230.0,4006,246189,246056.0,766.0,1
Jan-89,6635.0,5661.0,4234,246056,246224.0,39.0,1
Feb-89,6352.0,5305.0,5838,218076,246378.0,-283.0,0
Mar-89,6587.0,5035.0,4846,234822,246530.0,235.0,1
Apr-89,5773.0,5750.0,4184,233147,246721.0,-814.0,0
May-89,5663.0,5729.0,4051,242303,246906.0,-110.0,0
Jun-89,5687.0,5976.0,7300,228731,247114.0,24.0,1
Jul-89,5770.0,6214.0,2144,230766,247342.0,83.0,1
Aug-89,5928.0,6565.0,5007,233878,247573.0,158.0,1
Sep-89,5515.0,6028.0,961,226436,247816.0,-413.0,0
Oct-89,5819.0,6187.0,1882,231036,248067.0,304.0,1
Nov-89,5963.0,6171.0,3591,226082,248281.0,144.0,1
Dec-89,7176.0,5463.0,7645,227439,248479.0,1213.0,1
Jan-90,6716.0,6212.0,4084,233931,248659.0,-460.0,0
Feb-90,5970.0,5894.0,2843,209923,248827.0,-746.0,0
Mar-90,6253.0,6117.0,4104,230434,249012.0,283.0,1
Apr-90,5831.0,5813.0,3338,222215,249306.0,-422.0,0
May-90,5767.0,6454.0,3474,227179,249565.0,-64.0,0
Jun-90,5763.0,6423.0,2639,213175,249849.0,-4.0,0
Jul-90,5962.0,6855.0,2762,222371,250132.0,199.0,1
Aug-90,6189.0,6452.0,1990,225886,250439.0,227.0,1
Sep-90,5651.0,5664.0,2050,216715,250751.0,-538.0,0
Oct-90,5883.0,5132.0,3233,233799,251057.0,232.0,1
Nov-90,5832.0,5085.0,4124,221598,251346.0,-51.0,0
Dec-90,6465.0,4611.0,5013,227463,251626.0,633.0,1
Jan-91,6931.0,5296.0,1565,232498,251889.0,466.0,1
Feb-91,5893.0,5485.0,4267,213836,252135.0,-1038.0,0
Mar-91,6101.0,5166.0,4233,233926,252372.0,208.0,1
Apr-91,5603.0,5529.0,4857,225256,252643.0,-498.0,0
May-91,5618.0,6363.0,5114,229670,252913.0,15.0,1
Jun-91,5612.0,6334.0,2352,219610,253207.0,-6.0,0
Jul-91,5955.0,5955.0,4302,227756,253493.0,343.0,1
Aug-91,5979.0,6645.0,1700,226801,253807.0,24.0,1
Sep-91,5615.0,5812.0,3273,221029,254126.0,-364.0,0
Oct-91,5884.0,5683.0,2839,230557,254435.0,269.0,1
Nov-91,6047.0,5528.0,3773,219833,254718.0,163.0,1
Dec-91,6587.0,5565.0,4109,226267,254964.0,540.0,1
Jan-92,6836.0,5956.0,3653,228178,255214.0,249.0,1
Feb-92,6235.0,5079.0,647,214269,255448.0,-601.0,0
Mar-92,6382.0,5321.0,3263,227798,255703.0,147.0,1
Apr-92,5948.0,6127.0,693,218775,255992.0,-434.0,0
May-92,5759.0,6060.0,3272,222227,256285.0,-189.0,0
Jun-92,5676.0,6171.0,3213,215019,256589.0,-83.0,0
Jul-92,6076.0,6796.0,1651,221064,256894.0,400.0,1
Aug-92,5916.0,6457.0,4108,214575,257232.0,-160.0,0
Sep-92,5683.0,6218.0,2028,210904,257548.0,-233.0,0
Oct-92,5909.0,6696.0,3292,220898,257861.0,226.0,1
Nov-92,6040.0,6121.0,3325,210724,258147.0,131.0,1
Dec-92,6882.0,5937.0,3329,220200,258413.0,842.0,1
Jan-93,6715.0,6292.0,3984,215791,258679.0,-167.0,0
Feb-93,6396.0,6156.0,4646,194393,258919.0,-319.0,0
Mar-93,6772.0,6488.0,4301,216198,259152.0,376.0,1
Apr-93,5917.0,6928.0,2189,206439,259414.0,-855.0,0
May-93,5577.0,6809.0,3479,212255,259680.0,-340.0,0
Jun-93,5781.0,7201.0,4493,203842,259963.0,204.0,1
Jul-93,6214.0,7289.0,1936,207339,260255.0,433.0,1
Aug-93,6230.0,6641.0,1712,209492,260566.0,16.0,1
Sep-93,5818.0,6581.0,3204,201347,260867.0,-412.0,0
Oct-93,6036.0,7181.0,1929,212003,261163.0,218.0,1
Nov-93,6294.0,6997.0,2016,207349,261425.0,258.0,1
Dec-93,6930.0,6838.0,1944,212585,261674.0,636.0,1
Jan-94,7432.0,5945.0,3401,211320,261919.0,502.0,1
Feb-94,6733.0,6313.0,3244,189569,262123.0,-699.0,0
Mar-94,6605.0,6372.0,1256,209114,262352.0,-128.0,0
Apr-94,6000.0,6955.0,3585,198363,262631.0,-605.0,0
May-94,5873.0,7198.0,3647,207334,262877.0,-127.0,0
Jun-94,6112.0,7358.0,3218,198318,263152.0,239.0,1
Jul-94,6221.0,7857.0,2607,201527,263436.0,109.0,1
Aug-94,6345.0,7488.0,2232,202869,263724.0,124.0,1
Sep-94,5857.0,7868.0,1833,198264,264017.0,-488.0,0
Oct-94,6051.0,7136.0,4285,206398,264301.0,194.0,1
Nov-94,6075.0,7034.0,3048,198850,264559.0,24.0,1
Dec-94,6847.0,7193.0,3664,209550,264804.0,772.0,1
Jan-95,7029.0,6505.0,3493,207148,265044.0,182.0,1
Feb-95,6562.0,6546.0,2653,190245,265270.0,-467.0,0
Mar-95,6633.0,7391.0,2099,204613,265495.0,71.0,1
Apr-95,6039.0,7038.0,4662,198111,265755.0,-594.0,0
May-95,6035.0,7325.0,2256,205509,265998.0,-4.0,0
Jun-95,6066.0,7927.0,3028,197359,266270.0,31.0,1
Jul-95,6362.0,7265.0,3184,199912,266557.0,296.0,1
Aug-95,6674.0,7437.0,1905,199846,266843.0,312.0,1
Sep-95,6040.0,8007.0,2234,192484,267152.0,-634.0,0
Oct-95,6083.0,7075.0,1543,199055,267456.0,43.0,1
Nov-95,6452.0,7302.0,3530,197559,267715.0,369.0,1
Dec-95,7188.0,6916.0,3922,202428,267943.0,736.0,1
Jan-96,7500.0,7303.0,2752,201354,268151.0,312.0,1
Feb-96,6934.0,6612.0,2674,190727,268364.0,-566.0,0
Mar-96,6970.0,7215.0,2918,203715,268595.0,36.0,1
Apr-96,6267.0,7371.0,4448,193317,268853.0,-703.0,0
May-96,6273.0,8029.0,1138,198208,269108.0,6.0,1
Jun-96,6221.0,7958.0,3889,193746,269386.0,-52.0,0
Jul-96,6492.0,7800.0,4314,196471,269667.0,271.0,1
Aug-96,6612.0,8041.0,1378,197162,269976.0,120.0,1
Sep-96,6049.0,7353.0,4410,194456,270284.0,-563.0,0
