Date,U.S. Exports of Crude Oil (Thousand Barrels)
Jan-1973,0
Feb-1973,0
Mar-1973,0
Apr-1973,0
May-1973,128
Jun-1973,0
Jul-1973,232
Aug-1973,0
Sep-1973,160
Oct-1973,0
Nov-1973,0
Dec-1973,177
Jan-1974,534
Feb-1974,281
Mar-1974,0
Apr-1974,15
May-1974,200
Jun-1974,44
Jul-1974,0
Aug-1974,0
Sep-1974,0
Oct-1974,0
Nov-1974,0
Dec-1974,0
Jan-1975,836
Feb-1975,942
Mar-1975,349
Apr-1975,19
May-1975,0
Jun-1975,0
Jul-1975,0
Aug-1975,0
Sep-1975,0
Oct-1975,0
Nov-1975,0
Dec-1975,0
Jan-1976,0
Feb-1976,0
Mar-1976,45
Apr-1976,0
May-1976,1
Jun-1976,0
Jul-1976,0
Aug-1976,380
Sep-1976,0
Oct-1976,563
Nov-1976,900
Dec-1976,1052
Jan-1977,412
Feb-1977,1651
Mar-1977,995
Apr-1977,505
May-1977,2760
Jun-1977,292
Jul-1977,1646
Aug-1977,1145
Sep-1977,2719
Oct-1977,2645
Nov-1977,1355
Dec-1977,2130
Jan-1978,3048
Feb-1978,226
Mar-1978,1855
Apr-1978,2749
May-1978,3834
Jun-1978,5851
Jul-1978,4276
Aug-1978,5636
Sep-1978,7536
Oct-1978,8418
Nov-1978,6533
Dec-1978,7766
Jan-1979,5484
Feb-1979,8076
Mar-1979,11458
Apr-1979,7790
May-1979,5314
Jun-1979,7038
Jul-1979,7579
Aug-1979,7592
Sep-1979,5241
Oct-1979,5537
Nov-1979,7925
Dec-1979,6673
Jan-1980,9975
Feb-1980,9614
Mar-1980,10218
Apr-1980,5770
May-1980,10097
Jun-1980,10960
Jul-1980,7367
Aug-1980,2412
Sep-1980,9647
Oct-1980,9586
Nov-1980,8669
Dec-1980,10620
Jan-1981,10496
Feb-1981,5543
Mar-1981,6519
Apr-1981,5931
May-1981,9679
Jun-1981,3698
Jul-1981,7976
Aug-1981,6320
Sep-1981,5813
Oct-1981,6996
Nov-1981,8338
Dec-1981,5857
Jan-1982,7383
Feb-1982,8521
Mar-1982,9950
Apr-1982,5234
May-1982,8111
Jun-1982,2819
Jul-1982,7105
Aug-1982,9419
Sep-1982,5524
Oct-1982,8384
Nov-1982,7859
Dec-1982,5970
Jan-1983,3625
Feb-1983,7338
Mar-1983,5379
Apr-1983,2630
May-1983,8688
Jun-1983,4306
Jul-1983,4494
Aug-1983,5333
Sep-1983,5315
Oct-1983,4336
Nov-1983,5567
Dec-1983,2937
Jan-1984,4739
Feb-1984,5355
Mar-1984,7304
Apr-1984,5147
May-1984,6782
Jun-1984,6665
Jul-1984,3341
Aug-1984,5886
Sep-1984,4846
Oct-1984,4371
Nov-1984,6061
Dec-1984,5737
Jan-1985,4478
Feb-1985,6181
Mar-1985,5858
Apr-1985,7069
May-1985,7747
Jun-1985,6766
Jul-1985,4772
Aug-1985,7479
Sep-1985,5645
Oct-1985,3820
Nov-1985,8593
Dec-1985,6105
Jan-1986,4918
Feb-1986,4523
Mar-1986,6577
Apr-1986,2829
May-1986,3049
Jun-1986,7206
Jul-1986,2021
Aug-1986,7222
Sep-1986,4829
Oct-1986,4673
Nov-1986,3441
Dec-1986,4917
Jan-1987,2595
Feb-1987,7940
Mar-1987,4645
Apr-1987,7409
May-1987,2125
Jun-1987,3468
Jul-1987,4616
Aug-1987,4380
Sep-1987,3478
Oct-1987,2592
Nov-1987,4907
Dec-1987,6809
Jan-1988,6399
Feb-1988,4226
Mar-1988,6598
Apr-1988,3433
May-1988,4285
Jun-1988,4128
Jul-1988,5765
Aug-1988,4715
Sep-1988,3573
Oct-1988,5157
Nov-1988,4429
Dec-1988,4006
Jan-1989,4234
Feb-1989,5838
Mar-1989,4846
Apr-1989,4184
May-1989,4051
Jun-1989,7300
Jul-1989,2144
Aug-1989,5007
Sep-1989,961
Oct-1989,1882
Nov-1989,3591
Dec-1989,7645
Jan-1990,4084
Feb-1990,2843
Mar-1990,4104
Apr-1990,3338
May-1990,3474
Jun-1990,2639
Jul-1990,2762
Aug-1990,1990
Sep-1990,2050
Oct-1990,3233
Nov-1990,4124
Dec-1990,5013
Jan-1991,1565
Feb-1991,4267
Mar-1991,4233
Apr-1991,4857
May-1991,5114
Jun-1991,2352
Jul-1991,4302
Aug-1991,1700
Sep-1991,3273
Oct-1991,2839
Nov-1991,3773
Dec-1991,4109
Jan-1992,3653
Feb-1992,647
Mar-1992,3263
Apr-1992,693
May-1992,3272
Jun-1992,3213
Jul-1992,1651
Aug-1992,4108
Sep-1992,2028
Oct-1992,3292
Nov-1992,3325
Dec-1992,3329
Jan-1993,3984
Feb-1993,4646
Mar-1993,4301
Apr-1993,2189
May-1993,3479
Jun-1993,4493
Jul-1993,1936
Aug-1993,1712
Sep-1993,3204
Oct-1993,1929
Nov-1993,2016
Dec-1993,1944
Jan-1994,3401
Feb-1994,3244
Mar-1994,1256
Apr-1994,3585
May-1994,3647
Jun-1994,3218
Jul-1994,2607
Aug-1994,2232
Sep-1994,1833
Oct-1994,4285
Nov-1994,3048
Dec-1994,3664
Jan-1995,3493
Feb-1995,2653
Mar-1995,2099
Apr-1995,4662
May-1995,2256
Jun-1995,3028
Jul-1995,3184
Aug-1995,1905
Sep-1995,2234
Oct-1995,1543
Nov-1995,3530
Dec-1995,3922
Jan-1996,2752
Feb-1996,2674
Mar-1996,2918
Apr-1996,4448
May-1996,1138
Jun-1996,3889
Jul-1996,4314
Aug-1996,1378
Sep-1996,4410
Oct-1996,4144
Nov-1996,5161
Dec-1996,2985
Jan-1997,4382
Feb-1997,6414
Mar-1997,4230
Apr-1997,2772
May-1997,800
Jun-1997,1708
Jul-1997,2166
Aug-1997,3419
Sep-1997,3665
Oct-1997,4717
Nov-1997,975
Dec-1997,4060
Jan-1998,7146
Feb-1998,5514
Mar-1998,3073
Apr-1998,4888
May-1998,4451
Jun-1998,1877
Jul-1998,3222
Aug-1998,1585
Sep-1998,1035
Oct-1998,2704
Nov-1998,1814
Dec-1998,2793
Jan-1999,3332
Feb-1999,3342
Mar-1999,2960
Apr-1999,9962
May-1999,2742
Jun-1999,3679
Jul-1999,3717
Aug-1999,4102
Sep-1999,811
Oct-1999,1749
Nov-1999,2505
Dec-1999,4131
Jan-2000,5450
Feb-2000,871
Mar-2000,4449
Apr-2000,3706
May-2000,1062
Jun-2000,282
Jul-2000,466
Aug-2000,536
Sep-2000,688
Oct-2000,273
Nov-2000,71
Dec-2000,498
Jan-2001,545
Feb-2001,674
Mar-2001,1147
Apr-2001,145
May-2001,1981
Jun-2001,452
Jul-2001,334
Aug-2001,874
Sep-2001,238
Oct-2001,351
Nov-2001,265
Dec-2001,380
Jan-2002,339
Feb-2002,124
Mar-2002,254
Apr-2002,228
May-2002,224
Jun-2002,161
Jul-2002,1016
Aug-2002,267
Sep-2002,218
Oct-2002,122
Nov-2002,290
Dec-2002,52
Jan-2003,318
Feb-2003,140
Mar-2003,297
Apr-2003,360
May-2003,452
Jun-2003,1363
Jul-2003,214
Aug-2003,114
Sep-2003,99
Oct-2003,433
Nov-2003,638
Dec-2003,109
Jan-2004,191
Feb-2004,223
Mar-2004,599
Apr-2004,1640
May-2004,809
Jun-2004,1349
Jul-2004,549
Aug-2004,409
Sep-2004,1040
Oct-2004,786
Nov-2004,1253
Dec-2004,933
Jan-2005,1239
Feb-2005,541
Mar-2005,1111
Apr-2005,1345
May-2005,1694
Jun-2005,640
Jul-2005,1058
Aug-2005,531
Sep-2005,727
Oct-2005,530
Nov-2005,1445
Dec-2005,759
Jan-2006,849
Feb-2006,415
Mar-2006,903
Apr-2006,794
May-2006,829
Jun-2006,987
Jul-2006,414
Aug-2006,472
Sep-2006,631
Oct-2006,1152
Nov-2006,714
Dec-2006,839
Jan-2007,294
Feb-2007,703
Mar-2007,1047
Apr-2007,573
May-2007,1117
Jun-2007,1565
Jul-2007,822
Aug-2007,1307
Sep-2007,1013
Oct-2007,337
Nov-2007,603
Dec-2007,626
Jan-2008,364
Feb-2008,578
Mar-2008,910
Apr-2008,419
May-2008,581
Jun-2008,659
Jul-2008,894
Aug-2008,1234
Sep-2008,1173
Oct-2008,1321
Nov-2008,916
Dec-2008,1413
Jan-2009,1122
Feb-2009,833
Mar-2009,943
Apr-2009,799
May-2009,1634
Jun-2009,1698
Jul-2009,971
Aug-2009,1091
Sep-2009,1265
Oct-2009,2241
Nov-2009,1365
Dec-2009,2022
Jan-2010,1008
Feb-2010,1621
Mar-2010,1395
Apr-2010,1095
May-2010,1121
Jun-2010,937
Jul-2010,2140
Aug-2010,1113
Sep-2010,1838
Oct-2010,728
Nov-2010,953
Dec-2010,1249
Jan-2011,2228
Feb-2011,847
Mar-2011,1126
Apr-2011,1227
May-2011,1148
Jun-2011,1066
Jul-2011,2263
Aug-2011,1047
Sep-2011,1065
Oct-2011,1568
Nov-2011,1928
Dec-2011,1646
Jan-2012,2425
Feb-2012,2127
Mar-2012,2196
Apr-2012,1228
May-2012,2571
Jun-2012,1381
Jul-2012,2388
Aug-2012,1866
Sep-2012,2038
Oct-2012,2079
Nov-2012,2201
Dec-2012,2191
Jan-2013,3384
Feb-2013,3705
Mar-2013,3310
Apr-2013,4151
May-2013,4034
Jun-2013,3723
Jul-2013,3217
Aug-2013,2192
Sep-2013,3162
Oct-2013,3679
Nov-2013,7578
Dec-2013,6834
Jan-2014,7698
Feb-2014,6907
Mar-2014,7794
Apr-2014,8448
May-2014,9567
Jun-2014,11833
Jul-2014,13045
Aug-2014,12136
Sep-2014,10479
Oct-2014,11653
Nov-2014,15619
Dec-2014,13053
Jan-2015,15342
Feb-2015,12380
Mar-2015,13565
Apr-2015,17969
May-2015,16338
Jun-2015,13355
Jul-2015,16934
Aug-2015,14286
Sep-2015,12314
Oct-2015,15503
Nov-2015,9592
Dec-2015,12162
Jan-2016,15176
Feb-2016,13161
Mar-2016,18471
Apr-2016,18714
May-2016,24414
Jun-2016,15915
Jul-2016,16612
Aug-2016,22331
Sep-2016,23241
Oct-2016,15552
Nov-2016,18170
Dec-2016,14518
Jan-2017,22046
Feb-2017,32092
Mar-2017,28831
Apr-2017,33835
May-2017,34049
Jun-2017,25953
Jul-2017,29642
Aug-2017,25338
Sep-2017,43899
Oct-2017,53327
Nov-2017,46323
Dec-2017,47184
Jan-2018,42221
Feb-2018,48589
Mar-2018,61050
Apr-2018,57581
May-2018,64080
Jun-2018,68366
Jul-2018,71509
Aug-2018,57619
Sep-2018,60453
Oct-2018,69951
Nov-2018,72013
Dec-2018,74109
Jan-2019,81931
Feb-2019,81617
Mar-2019,82864
Apr-2019,87321
May-2019,91722
Jun-2019,92995
Jul-2019,83883
Aug-2019,85406
Sep-2019,92780
Oct-2019,105770
Nov-2019,92408
Dec-2019,109648
Jan-2020,100773
Feb-2020,107528
Mar-2020,110262
Apr-2020,92315
May-2020,90787
Jun-2020,82585
Jul-2020,101265
Aug-2020,102245
