Month,Total Renewable Energy Consumption Monthly
Jun-20,1052.802
May-20,1041.145
Apr-20,910.188
Mar-20,963.428
Feb-20,971.421
Jan-20,972.738
Dec-19,949.114
Nov-19,909.938
Oct-19,923.619
Sep-19,884.3
Aug-19,932.239
Jul-19,977.942
Jun-19,996.843
May-19,1059.944
Apr-19,1023.097
Mar-19,991.321
Feb-19,871.904
Jan-19,940.57
Dec-18,925.094
Nov-18,887.305
Oct-18,883.518
Sep-18,845.102
Aug-18,934.249
Jul-18,928.27
Jun-18,1014.54
May-18,1040.02
Apr-18,1001.242
Mar-18,995.797
Feb-18,891.967
Jan-18,953.873
Dec-17,902.825
Nov-17,874.429
Oct-17,888.319
Sep-17,834.706
Aug-17,864.002
Jul-17,918.792
Jun-17,990.561
May-17,1033.383
Apr-17,993.181
Mar-17,1013.642
Feb-17,858.701
Jan-17,903.979
Dec-16,934.273
Nov-16,832.775
Oct-16,830.836
Sep-16,786.589
Aug-16,822.693
Jul-16,871.765
Jun-16,852.82
May-16,898.95
Apr-16,886.512
Mar-16,932.11
Feb-16,854.79
Jan-16,858.424
Dec-15,877.134
Nov-15,823.928
Oct-15,776.121
Sep-15,750.402
Aug-15,797.099
Jul-15,820.16
Jun-15,795.538
May-15,829.754
Apr-15,833.09
Mar-15,834.146
Feb-15,767.86
Jan-15,815.339
Dec-14,827.648
Nov-14,814.856
Oct-14,773.287
Sep-14,721.678
Aug-14,770.656
Jul-14,831.547
Jun-14,865.776
May-14,867.815
Apr-14,870.724
Mar-14,860.888
Feb-14,711.236
Jan-14,824.263
Dec-13,804.721
Nov-13,767.22
Oct-13,754.023
Sep-13,713.734
Aug-13,756.174
Jul-13,824.467
Jun-13,837.883
May-13,870.224
Apr-13,830.323
Mar-13,781.264
Feb-13,713.786
Jan-13,796.799
Dec-12,766.749
Nov-12,687.048
Oct-12,688.077
Sep-12,649.279
Aug-12,725.012
Jul-12,751.004
Jun-12,778.836
May-12,809.479
Apr-12,766.281
Mar-12,789.65
Feb-12,683.687
Jan-12,751.999
Dec-11,769.745
Nov-11,736.426
Oct-11,710.41
Sep-11,681.927
Aug-11,754.01
Jul-11,795.127
Jun-11,836.164
May-11,838.459
Apr-11,815.067
Mar-11,816.084
Feb-11,711.299
Jan-11,739.44
Dec-10,733.505
Nov-10,689.48
Oct-10,658.503
Sep-10,637.769
Aug-10,676.43
Jul-10,717.979
Jun-10,771.073
May-10,731.062
Apr-10,672.294
Mar-10,687.394
Feb-10,616.837
Jan-10,674.792
Dec-09,686.281
Nov-09,637.48
Oct-09,628.765
Sep-09,569.214
Aug-09,618.377
Jul-09,645.574
Jun-09,687.759
May-09,697.389
Apr-09,655.216
Mar-09,623.267
Feb-09,536.975
Jan-09,622.034
Dec-08,618.025
Nov-08,549.298
Oct-08,553.949
Sep-08,532.82
Aug-08,597.434
Jul-08,645.917
Jun-08,673.913
May-08,664.879
Apr-08,606.376
Mar-08,596.829
Feb-08,541.65
Jan-08,593.597
Dec-07,549.794
Nov-07,501.355
Oct-07,503.567
Sep-07,482.354
Aug-07,542.266
Jul-07,561.47
Jun-07,557.939
May-07,593.561
Apr-07,565.767
Mar-07,577.049
Feb-07,490.985
Jan-07,597.002
Dec-06,548.326
Nov-06,522.571
Oct-06,496.691
Sep-06,484.019
Aug-06,537.126
Jul-06,573.946
Jun-06,608.261
May-06,618.068
Apr-06,579.7
Mar-06,551.703
Feb-06,527
Jan-06,589.458
Dec-05,529.7
Nov-05,486.946
Oct-05,477.082
Sep-05,464.655
Aug-05,517.287
Jul-05,562.531
Jun-05,562.202
May-05,568.36
Apr-05,513.734
Mar-05,523.95
Feb-05,489.163
Jan-05,537.947
Dec-04,558.839
Nov-04,485.644
Oct-04,474.128
Sep-04,480.224
Aug-04,502.422
Jul-04,524.007
Jun-04,534.463
May-04,523.178
Apr-04,489.906
Mar-04,510.79
Feb-04,475.949
Jan-04,515.175
Dec-03,526.219
Nov-03,463.794
Oct-03,452.114
Sep-03,445.417
Aug-03,502.37
Jul-03,523.846
Jun-03,548.222
May-03,557.681
Apr-03,509.86
Mar-03,506.114
Feb-03,440.76
Jan-03,467.763
Dec-02,488.101
Nov-02,458.059
Oct-02,445.36
Sep-02,431.011
Aug-02,469.223
Jul-02,525.794
Jun-02,533.004
May-02,527.249
Apr-02,488.025
Mar-02,456.497
Feb-02,428.795
Jan-02,474.999
Dec-01,448.48
Nov-01,401.017
Oct-01,412.275
Sep-01,395.833
Aug-01,445.558
Jul-01,438.441
Jun-01,451.264
May-01,434.871
Apr-01,424.538
Mar-01,456.138
Feb-01,404.482
Jan-01,447.071
Dec-00,479.069
Nov-00,484.43
Oct-00,469.436
Sep-00,443.553
Aug-00,505.427
Jul-00,525.596
Jun-00,507.747
May-00,558.828
Apr-00,567.151
Mar-00,558.477
Feb-00,498.995
Jan-00,505.525
Dec-99,516.685
Nov-99,494.456
Oct-99,457.251
Sep-99,481.258
Aug-99,546.59
Jul-99,593.637
Jun-99,573.252
May-99,608.943
Apr-99,549.273
Mar-99,563.735
Feb-99,533.102
Jan-99,595.566
Dec-98,554.216
Nov-98,455.642
Oct-98,486.807
Sep-98,486.757
Aug-98,537.24
Jul-98,565.735
Jun-98,537.594
May-98,605.82
Apr-98,548.687
Mar-98,586.497
Feb-98,535.207
Jan-98,591.094
Dec-97,542.305
Nov-97,526.708
Oct-97,582.309
Sep-97,512.467
Aug-97,567.063
Jul-97,611.058
Jun-97,607.075
May-97,640.218
Apr-97,603.645
Mar-97,628.713
Feb-97,563.437
Jan-97,629.125
Dec-96,597.218
Nov-96,561.213
Oct-96,567.218
Sep-96,512.561
Aug-96,594.957
Jul-96,610.002
Jun-96,608.158
May-96,595.776
Apr-96,556.12
Mar-96,628.612
Feb-96,572.903
Jan-96,607.654
Dec-95,586.126
Nov-95,559.122
Oct-95,560.886
Sep-95,499.535
Aug-95,580.33
Jul-95,600.264
Jun-95,561.169
May-95,532.008
Apr-95,536.245
Mar-95,550.608
Feb-95,477.658
Jan-95,515.416
Dec-94,512.936
Nov-94,482.584
Oct-94,477.802
Sep-94,430.61
Aug-94,484.576
Jul-94,537.964
Jun-94,496.828
May-94,494.384
Apr-94,516.487
Mar-94,530.779
Feb-94,475.2
Jan-94,546.991
Dec-93,519.574
Nov-93,483.797
Oct-93,468.916
Sep-93,462.234
Aug-93,501.475
Jul-93,491.493
Jun-93,506.206
May-93,536.1
Apr-93,526.703
Mar-93,543.535
Feb-93,477.729
Jan-93,563.873
Dec-92,545.912
Nov-92,498.631
Oct-92,472.679
Sep-92,458.262
Aug-92,491.44
Jul-92,486.977
Jun-92,497.881
May-92,455.238
Apr-92,445.954
Mar-92,482.783
Feb-92,449.194
Jan-92,535.605
Dec-91,528.581
Nov-91,467.743
Oct-91,467.135
Sep-91,491.722
Aug-91,512.229
Jul-91,499.535
Jun-91,513.638
May-91,540.589
Apr-91,492.912
Mar-91,519.109
Feb-91,465.116
Jan-91,569.477
Dec-90,528.927
Nov-90,459.565
Oct-90,460.199
Sep-90,447.349
Aug-90,497.455
Jul-90,499.495
Jun-90,503.363
May-90,525.673
Apr-90,530.43
Mar-90,567.935
Feb-90,508.361
Jan-90,511.272
Dec-89,533.841
Nov-89,521.324
Oct-89,511.06
Sep-89,487.949
Aug-89,513.154
Jul-89,525.098
Jun-89,546.136
May-89,562.701
Apr-89,530.097
Mar-89,532.715
Feb-89,461.435
Jan-89,509.147
Dec-88,472.132
Nov-88,448.903
Oct-88,422.602
Sep-88,426.312
Aug-88,437.214
Jul-88,442.602
Jun-88,453.891
May-88,486.212
Apr-88,455.993
Mar-88,469.098
Feb-88,446.663
Jan-88,495.132
Dec-87,475.58
Nov-87,423.208
Oct-87,442.655
Sep-87,437.201
Aug-87,448.986
Jul-87,467.691
Jun-87,466.873
May-87,509.032
Apr-87,477.656
Mar-87,498.782
Feb-87,452.878
Jan-87,521.265
Dec-86,532.346
Nov-86,492.321
Oct-86,482.113
Sep-86,472.114
Aug-86,482.847
Jul-86,513.292
Jun-86,527.412
May-86,545.072
Apr-86,539.897
Mar-86,558.538
Feb-86,479.122
Jan-86,486.064
Dec-85,533.96
Nov-85,499.606
Oct-85,475.406
Sep-85,454.274
Aug-85,475.912
Jul-85,489.577
Jun-85,507.33
May-85,542.968
Apr-85,512.937
Mar-85,525.002
Feb-85,511.838
Jan-85,555.205
Dec-84,532.347
Nov-84,486.11
Oct-84,479.62
Sep-84,470.91
Aug-84,524.053
Jul-84,547.618
Jun-84,553.321
May-84,593.504
Apr-84,566.019
Mar-84,579.04
Feb-84,535.239
Jan-84,570.081
Dec-83,587.773
Nov-83,507.035
Oct-83,474.251
Sep-83,476.173
Aug-83,528.288
Jul-83,550.993
Jun-83,569.493
May-83,581.741
Apr-83,561.458
Mar-83,572.853
Feb-83,523.276
Jan-83,562.279
Dec-82,522.93
Nov-82,469.93
Oct-82,439.874
Sep-82,433.748
Aug-82,483.203
Jul-82,519.267
Jun-82,518.974
May-82,525.795
Apr-82,517.128
Mar-82,544.724
Feb-82,489.624
Jan-82,514.44
Dec-81,477.024
Nov-81,418.476
Oct-81,416.966
Sep-81,407.22
Aug-81,454.028
Jul-81,491.304
Jun-81,496.995
May-81,480.423
Apr-81,438.02
Mar-81,443.808
Feb-81,427.043
Jan-81,462.381
Dec-80,448.546
Nov-80,409.876
Oct-80,402.564
Sep-80,401.712
Aug-80,429.358
Jul-80,471.331
Jun-80,497.768
May-80,517.456
Apr-80,477.356
Mar-80,469.134
Feb-80,424.298
Jan-80,478.943
Dec-79,425.109
Nov-79,414.74
Oct-79,397.602
Sep-79,378.903
Aug-79,409.21
Jul-79,424.513
Jun-79,441.683
May-79,489.08
Apr-79,445.932
Mar-79,457.799
Feb-79,390.487
Jan-79,447.796
Dec-78,407.564
Nov-78,379.078
Oct-78,379.436
Sep-78,392.287
Aug-78,408.417
Jul-78,431.461
Jun-78,432.628
May-78,475.883
Apr-78,434.379
Mar-78,433.459
Feb-78,391.866
Jan-78,438.983
Dec-77,400.048
Nov-77,370.168
Oct-77,341.368
Sep-77,328.075
Aug-77,335.881
Jul-77,336.903
Jun-77,336.485
May-77,356.923
Apr-77,351.301
Mar-77,368.966
Feb-77,304.328
Jan-77,378.521
Dec-76,360.834
Nov-76,351.386
Oct-76,369.186
Sep-76,356.984
Aug-76,398.129
Jul-76,421.425
Jun-76,411.555
May-76,415.728
Apr-76,396.931
Mar-76,427.044
Feb-76,396.173
Jan-76,421.775
Dec-75,403.696
Nov-75,383.196
Oct-75,368.786
Sep-75,341.957
Aug-75,368.23
Jul-75,398.459
Jun-75,411.622
May-75,421.283
Apr-75,405.368
Mar-75,423.49
Feb-75,368.278
Jan-75,392.756
Dec-74,376.642
Nov-74,351.633
Oct-74,343.703
Sep-74,353.91
Aug-74,386.101
Jul-74,409.719
Jun-74,409.281
May-74,427.657
Apr-74,422.323
Mar-74,423.474
Feb-74,399.942
Jan-74,437.467
Dec-73,406.694
Nov-73,337.817
Oct-73,323.453
Sep-73,307.006
Aug-73,353.757
Jul-73,367.325
Jun-73,377.232
May-73,392.141
Apr-73,380.47
Mar-73,400.161
Feb-73,360.9
Jan-73,403.981